ID,DATE,YEAR,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
5716,28/08/2019,2019,38.789,15.213,ITALY,Mediterranean Sea,Volcano,Probable Tsunami,,,,,
5733,14/11/2019,2019,1.6,126.416,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.1,33,Limited (<$1 million),,Few (~1 to 50 people)
5736,1/07/2020,2020,17.916,-66.813,USA TERRITORY,Caribbean Sea,Earthquake,Definite Tsunami,6.4,10,Extreme (~$25 million or more),Many (~101 to 1000 houses),Few (~1 to 50 people)
5740,28/01/2020,2020,19.44,-78.755,CUBA,Caribbean Sea,Earthquake,Definite Tsunami,7.7,10,Moderate (~$1 to $5 million),Few (~1 to 50 houses),
5746,25/03/2020,2020,48.986,157.693,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.5,57,,,
5747,5/02/2020,2020,34.205,25.712,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.6,17,,,
5748,29/05/2020,2020,-8.058,114.242,INDONESIA,Indian Ocean (including west coast of Australia),Volcano and Earthquake,Event that only caused a seiche or disturbance in an inland river,,,,,Few (~1 to 50 people)
5753,22/07/2020,2020,55.03,-158.522,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.8,28,,,
5750,18/06/2020,2020,-33.294,-177.838,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.4,10,,,
5751,23/06/2020,2020,16.029,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.4,26,,,Few (~1 to 50 people),
